id;libelle
1;C
2;C/FC
3;C/FC/VEFA
4;C/VEFA
5;CS
6;REST
7;RLC
8;T
9;T/C
10;T/C/FC
11;T/VRD
12;T/VRD/C
13;VRD
14;VRD/C
15;VRD/C/FC
16;VRD/CS
17;(vide)
18;CSREST
19;ACQUI ACTIONS
20;ACQUI PART SOC
9999;some_credit_type
